source_site,location_code,location_name,location_type,faculty_or_area,building,notes
orar.usv.ro,E201,E201,room,,E,"ID: 192, Capacitate: 0"
orar.usv.ro,E123,E123,room,,E,"ID: 193, Capacitate: 10"
orar.usv.ro,ED024,ED024,room,,E,"ID: 194, Capacitate: 0"
orar.usv.ro,ED016,ED016,room,,E,"ID: 195, Capacitate: 0"
orar.usv.ro,FIM1,FIM1,room,,B,"ID: 196, Capacitate: 0"
orar.usv.ro,E101,E101,room,,E,"ID: 197, Capacitate: 31"
orar.usv.ro,ED011,ED011,room,,E,"ID: 200, Capacitate: 0"
orar.usv.ro,E233,E233,room,,E,"ID: 201, Capacitate: 31"
orar.usv.ro,ED028-30,ED028-30,room,,E,"ID: 203, Capacitate: 0"
orar.usv.ro,E224,E 224,room,,E,"ID: 207, Capacitate: 0"
orar.usv.ro,CA DPPD,Casa alba DPPD,laboratory,,C.A.,"ID: 209, Capacitate: 0"
orar.usv.ro,E126,E126,room,,E,"ID: 213, Capacitate: 0"
orar.usv.ro,Sala Senat,Sala Senat,room,,H,"ID: 214, Capacitate: 0"
orar.usv.ro,A128,Catedra de Franceza,room,,A,"ID: 215, Capacitate: 0"
orar.usv.ro,A112,A112 - sala DSPP,room,,A,"ID: 216, Capacitate: 0"
orar.usv.ro,E119,E119,room,,E,"ID: 218, Capacitate: 0"
orar.usv.ro,ED015,ED015,room,,E,"ID: 222, Capacitate: 0"
orar.usv.ro,LB3,Sala curs LB3,laboratory,,,"ID: 224, Capacitate: 0"
orar.usv.ro,A033,A033,room,,A,"ID: 225, Capacitate: 16"
orar.usv.ro,D110,D110,room,,D,"ID: 227, Capacitate: 0"
orar.usv.ro,E118,E118,room,,E,"ID: 230, Capacitate: 0"
orar.usv.ro,B004 Lab Ch,B004 Laborator Chimie,laboratory,,B,"ID: 233, Capacitate: 0"
orar.usv.ro,K210,K210,room,,K,"ID: 234, Capacitate: 0"
orar.usv.ro,A113,A113(A52),room,,A,"ID: 235, Capacitate: 0"
orar.usv.ro,K107,K 107 - Laborator BFKT,laboratory,,K,"ID: 238, Capacitate: 0"
orar.usv.ro,Bazin,Bazin de înot,room,,K,"ID: 239, Capacitate: 0"
orar.usv.ro,Stadion,Stadion Areni,room,,Stadion,"ID: 240, Capacitate: 0"
