location_key,display_name,location_type,building,is_online,is_external,source_reference,notes
stadion,Stadion Areni,room,Stadion,false,false,orar.usv.ro,"ID: 240, Capacitate: 0"
a039,Laborator de Etnografie,laboratory,A,false,false,orar.usv.ro,"ID: 242, Capacitate: 36"
a205,Lectoratul Ucrainean,room,A,false,false,orar.usv.ro,"ID: 246, Capacitate: 10"
a127,Birou Comunicare,room,A,false,false,orar.usv.ro,"ID: 249, Capacitate: 0"
a125,Catedra de Română,room,A,false,false,orar.usv.ro,"ID: 250, Capacitate: 0"
a040,Catedra de Engleza,room,A,false,false,orar.usv.ro,"ID: 251, Capacitate: 0"
s._forta,L201 - Sală Forță,room,A,false,false,orar.usv.ro,"ID: 252, Capacitate: 0"
e132,E132 - Sala curs - 90 locuri,room,E,false,false,orar.usv.ro,"ID: 307, Capacitate: 0"
e113,E113- Laborator- 18 locuri,laboratory,E,false,false,orar.usv.ro,"ID: 308, Capacitate: 0"
e110,E110 - 18 locuri,room,E,false,false,orar.usv.ro,"ID: 309, Capacitate: 0"
e109,E109 Laborator - 16locuri,laboratory,E,false,false,orar.usv.ro,"ID: 310, Capacitate: 0"
e106,E106- calculatoare - 16 locuri,room,E,false,false,orar.usv.ro,"ID: 311, Capacitate: 0"
e105,E105 - 18 locuri,room,E,false,false,orar.usv.ro,"ID: 312, Capacitate: 0"
e227,E227 - 24 locuri,room,E,false,false,orar.usv.ro,"ID: 313, Capacitate: 0"
e032,E032,room,E,false,false,orar.usv.ro,"ID: 314, Capacitate: 0"
e034,E034,room,E,false,false,orar.usv.ro,"ID: 315, Capacitate: 0"
e036,E036,room,E,false,false,orar.usv.ro,"ID: 316, Capacitate: 0"
e026,E026,room,E,false,false,orar.usv.ro,"ID: 318, Capacitate: 0"
a116,A116,room,A,false,false,orar.usv.ro,"ID: 319, Capacitate: 0"
a117,A117,room,A,false,false,orar.usv.ro,"ID: 320, Capacitate: 0"
a004,A004,room,A,false,false,orar.usv.ro,"ID: 321, Capacitate: 0"
e218,E218,room,E,false,false,orar.usv.ro,"ID: 322, Capacitate: 0"
j6,J6,room,J,false,false,orar.usv.ro,"ID: 323, Capacitate: 20"
e217,E217,room,E,false,false,orar.usv.ro,"ID: 325, Capacitate: 0"
c4-cantina,C4-Microcantina,room,Camin,false,false,orar.usv.ro,"ID: 326, Capacitate: 0"
a_034,A 034,room,A,false,false,orar.usv.ro,"ID: 327, Capacitate: 0"
a109,A109,room,A,false,false,orar.usv.ro,"ID: 328, Capacitate: 13"
a013,A013,room,A,false,false,orar.usv.ro,"ID: 330, Capacitate: 0"
a110,A110,room,A,false,false,orar.usv.ro,"ID: 332, Capacitate: 16"
s1,S1,room,A,false,false,orar.usv.ro,"ID: 333, Capacitate: 0"
e039,E039,room,E,false,false,orar.usv.ro,"ID: 334, Capacitate: 0"
a126,Catedra de Română2,room,A,false,false,orar.usv.ro,"ID: 341, Capacitate: 0"
a202,Birou Doctorat+CADISS,room,A,false,false,orar.usv.ro,"ID: 342, Capacitate: 0"
a105,Epigon,room,A,false,false,orar.usv.ro,"ID: 343, Capacitate: 0"
lab_dsp,Lab DSP,laboratory,,false,false,orar.usv.ro,"ID: 344, Capacitate: 0"
bazin_(c1),Bazin (culuar 1),room,K,false,false,orar.usv.ro,"ID: 345, Capacitate: 0"
bazin_(c2),Bazin (culuar 2),room,K,false,false,orar.usv.ro,"ID: 346, Capacitate: 0"
bazin_(c3),Bazin (culuar 3),room,K,false,false,orar.usv.ro,"ID: 347, Capacitate: 0"
